country,year,tiv
Iraq,1950,
Iraq,1951,
Iraq,1952,59
Iraq,1953,50
Iraq,1954,17
Iraq,1955,57
Iraq,1956,99
Iraq,1957,41
Iraq,1958,188
Iraq,1959,174
Iraq,1960,176
Iraq,1961,130
Iraq,1962,278
Iraq,1963,201
Iraq,1964,321
Iraq,1965,248
Iraq,1966,341
Iraq,1967,364
Iraq,1968,392
Iraq,1969,418
Iraq,1970,185
Iraq,1971,187
Iraq,1972,645
Iraq,1973,1846
Iraq,1974,1425
Iraq,1975,1113
Iraq,1976,1137
Iraq,1977,1073
Iraq,1978,1796
Iraq,1979,1395
Iraq,1980,2252
Iraq,1981,2580
Iraq,1982,3259
Iraq,1983,3375
Iraq,1984,4581
Iraq,1985,3909
Iraq,1986,3393
Iraq,1987,3474
Iraq,1988,1918
Iraq,1989,1513
Iraq,1990,818
Iraq,1991,
Iraq,1992,
Iraq,1993,
Iraq,1994,
Iraq,1995,
Iraq,1996,
Iraq,1997,
Iraq,1998,
Iraq,1999,
Iraq,2000,
Iraq,2001,
Iraq,2002,
Iraq,2003,
Iraq,2004,49
Iraq,2005,195
Iraq,2006,306
Iraq,2007,299
Iraq,2008,379
Iraq,2009,418
Iraq,2010,480
Iraq,2011,623
Iraq,2012,523
Iraq,2013,375
Iraq,2014,629
Iraq,2015,1488
Iraq,2016,1831
Iraq,2017,945
Iraq,2018,454
Iraq,2019,144
Iraq,2020,5
Iraq,2021,
Iraq,2022,55
Iraq,2023,30
Iraq,2024,80
Iraq,2025,55
